study,journal,title,year_published,doi,prompts,country,country_region,country_region_note,animal_pop,data_extraction,data_start,data_end,continuous,continuous_note,exceptions_any,exceptions_any_note,descrip_age,descrip_sex,descrip_breed,descrip_premisetype,descrip_other,disease_outcome,disease_outcome_note,nodes,nodes_number,edges,edges_number,edges_weighted,edges_weighted_note,exclusions,n_networks,directed_network,temporality,temporality_note,software,methology_used,network_measures,community_detection,community_detection_qualityfunction,relevance_results,barriers,recommendations,note
Salvador 2023,Philippine Journal of Veterinary Medicine,Application of Social Network Analysis to Describe the 2020 Swine Trading in the Philippines,2023,,to describe the trading network of pigs in the Philippines,PHL,N,-,swine,shipping permits issued by the Bureau of Animal Industry (BAI),9 Jan 2020,30 Dec 2020,Y,-,N,-,N,N,N,N,commodity,N,-,province,focus on top 5 influential provinces,number of movements,"156,513",Y,number of movements,-,"3 (pork products, live animals, and semen)",Y,N,-,R,"The shipping permits issued by the Bureau of Animal Industry (BAI) in 2020 were utilized for the analysis of networks of live pigs, semen, and pork trading. The identification of the influential nodes in this study is based on their network measures. The ranking of nodes in this study is primarily based on the Eigenvector centrality.",degree; betweenness; closeness; eigenvector,N,-,"Most of the identified influential nodes are in the northern part of the country and are close to each other, and due to their high degree of connectivity, they can significantly influence the trajectory of contagious diseases","government veterinary offices have limited resources and thus rely largely on passive surveillance; contact tracing may already be challenging when a given disease is already widespread, respondents are neither cooperative nor able to provide reliable information; Despite the high interest in regulating animal movement as part of disease prevention and outbreak management, illegal trade is still possible; the data used was based on the shipping permits issued in 2020 only (during COVID)","The findings of this study can be utilized for arresting disease outbreaks at the earliest possible time. The identified influential nodes of swine shipments then can be the subject of tighter surveillance. Ideally, surveillance should include wider coverage; Routine monitoring of these critical points within the supply network; Programs to address vulnerability to disease infection for swine farms within the identified influential provinces can be likewise implemented. These may include enhanced biosecurity and disease information campaigns; A periodic implementation of social network analysis should be done to capture the evolving swine industry dynamics accurately",
Savini 2017,PloS one,Development of a forecasting model for brucellosis spreading in the Italian cattle trade network aimed to prioritise the field interventions,2017,10.1371/journal.pone.0177313,to study possible ways to prioritise the herds in-contact to limit the possible spread of the disease during this phase; The manuscript addresses the use of computational epidemic models rooted in the knowledge of cattle trade network to assess the probabilities of brucellosis spread and to design control strategies,ITA,Y,Sicily,cattle,Italian National Database for Animal Identification and Registration (NDB); National Animal Health Managing Information System (SANAN),2009,2009,Y,all animal movements from the date of the most recent negative control and with aforward depth of 365 day,N,-,N,N,N,Y,brucellosis infected herds,Y,brucellosis and detection simulations,animal holding,899,number of movements; number of animals,1195 (the corresponding dynamic form consists of 2296 multiple arcs),Y,number of animals,Slaughterhouse nodes and foreign countries were removed because they are not contributing to the spread of the disease,1 (plus 3 disease models),Y,N,-,R; Cytoscape,"Construction of the transmission network (TN) startied from the seeding site (the first brucellosis outbreak), and extraction from the NDB of all animal movements from the date of the most recent negative control and with a forward depth of 365 days until the fifth level of depth during the 365 days following the last negative control. The effects of removing the nodes with high values of centrality measures and their arcs from the network were evaluated through six scenarios arising from targeted node’s selection, including a.removal of the hub, b. authority, c.(cut-point) betweenness, d. degree, e.out-degree and f.in-degree and their results as the percentage of TN reduction and relate reached outbreaks. We then built three different spread network-based models: the DFC (Disease Flow Centrality) model based only on temporal cattle network structure and unrelated to the epidemiological disease parameters; adeterministic SIR (SusceptibleInfectious-Recovered) model; astochastic SEIR (Susceptible-Exposed-Infectious-Recovered) model in which epidemiological and demographic within-farm aspects are also modelled. To compare the ability of the models to identify outbreaks and healthy farms correctly, we used the following results from simulations: We recorded the number of infected animals per node at final time (nI) for the SIR model; the node state, i.e., ifanode has at least one exposed or infected animal in the one-year frame (HI), and the maximum of the exposed plus infected animals per node (mEI) for the SEIR model. ",density; average path length; average clustering coefficient; degree; betweenness (cut-point); in-degree; out-degree; authority,N,-,"In summary, the criterion followed by the field veterinary services lacks sensitivity and is inefficient as concerns cost-benefit ratio. All methods proposed by the authors to define the priorities of intervention are more effective than that now followed in the field. The most efficient among the set of proposed methods isthe SIR, which gives the highest sensitivity, still requiring the lowest computation effort; Our sub-network consists of 25 secondary outbreaks, none with a direct link with the seed; In conclusion, the use of the proposed methods improves the efficacy and efficiency of the tracing activities in comparison to the procedure currently adopted by the veterinary services","in many cases, the detection of the infection in afarm occurs long time after the entry of the infection in the farm itself; potential illegal movements","itisnecessary to put in place concurrent actions to identify and eradicate sources of the infection already present in the trade network, allowing limitation of the time period in which it is necessary to enforce movement restrictions; Our study provides the competent authority with the information required for the choice of the method to adopt, based on models’ performance and computation time",
Sch√§rrer 2015,BMC Veterinary Research,Evaluation of farm-level parameters derived from animal movements for use in risk-based surveillance programmes of cattle in Switzerland,2015,10.1186/s12917-015-0468-8,"identifying farm-level parameters associated with cattle movements, which could be used to classify Swiss farms for targeted surveillance of contagious diseases",CHE,N,-,cattle,animal movement database (AMD); serological surveillance for BVD,1 Jan 2012,31 Dec 2012,N,BVD data from 2013 was utilized,N,-,N,N,N,Y,herd size,Y,bovine viral diarrhoea (BVD),premises,"48728 total; 30525 in Jan, 29674 in Feb, 30729 in Mar, 31047 in Apr, 35806 in May, 39512 in Jun, 29556 in Jul, 32401 in Aug, 40300 in Sep, 32978 in Nov, 28770 in Dec",animal movements; number of movements,"907539 total; 70160 in Jan, 59860 in Feb, 71278 in Mar, 68306 in Apr, 79869 in May, 90880 in Jun, 59925 in Jul, 72844 in Aug, 103587 in Sep, 89693 in Oct, 78612 in Nov, 62525 in Dec",N,-,Small farms with less than 10 bovines were in a different surveillance scheme and were thus excluded from the BVD dataset,13,Y,Y,annual; monthly,R,"Cattle movement data from 2012 were used and the resulting networks were described to investigate the seasonality in the cattle network (an annual network and monthly networks) and to better understand the network as a whole. Several parameters were chosen or developed based on their likely association with the risk of acquiring disease via animal movement. A framework was developed to select farms for surveillance, based on a risk score from 0 to 5 based on thresholds that were set at the 50th, 90th, 95th and 99th percentiles. The proposed framework was validated using data from the BVD surveillance programme in 2013. The sensitivity (Se) and specificity (Sp) for detecting thefarmswithaPIusingtheproposedriskscorewas calculated.",in-degree; out-degree; ingoing contact chain; outgoing contact chain; GSCC; reachability ratio; number of shortest paths; number of times a node was on the shortest path; active weeks,N,-,"high levels of ingoing and outgoing contact chain values for most of the farms in the network over time, although only very few farms (ca. 10 %) have high levels of direct contacts; In the case of BVD surveillance, target farms with a score count of ≥ 2 at the lowest threshold levels would provide the highest sensitivity and all positive herds would be included in the sample; In the final stage of the BVD eradication programme, it is crucial to find the remaining domestic cases and therefore a high sensitivity and coverage is more important than the resulting number of negative farms tested; The seasonal variation in the network parameters is driven by the pasturing season, suggesting highly variable transmission risks during the year; The weak correlation between herd size and the movement related parameters implies that they do not substitute one another as risk factors; none of the farms with a PI has a score below three when using the lower threshold",Finding measures to describe the position of a farm in temporal networks is challenging,"The actual threshold needs to be chosen in function of surveillance goals, available budget and available data for validation; If the objective of the scoring system is to detect farms with newly acquired PI animals, then the added uncertainty of an imperfect testing system must be taken into account; the time of sampling must be considered according to the goal of the surveillance programme; validating proposed risk-scores for every disease in question; With the introduced scoring system, the information contained in the AMD can be used to optimize the selection of farms in the sample for routine surveillance; By screening cattle at slaughter from farms with high scores, the framework could be implemented for monitoring programmes or at least provide the necessary data to validate the system itself",
Schulz 2017,PloS one,Network analysis of pig movements: Loyalty patterns and contact chains of different holding types in Denmark,2017,10.1371/journal.pone.0179915,to provide acomprehensive description and exploration of changes over time in the structure of the Danish pig movement network in the period from 1st January 2006 to 31st December 2015 by use of recently developed approaches of static and temporal network analysis tools; To identify holdings and holding types with potentially higher risk for introduction or spread of diseases via pig movements,DNK,N,-,swine,Central Husbandry Register (CHR),1 Jan 2006,31 Dec 2015,Y,-,N,-,N,N,N,Y,-,N,-,animal holding,"12814 in 2006, 11920 in 2007, 10886 in 2008, 9816 in 2009, 9270 in 2010, 8875 in 2011, 8502 in 2012, 8370 in 2013, 8366 in 2014, and 7835 in 2015; 16069 total holdings",animal movements,"7617681 total, with the overall frequency of pig movements decreased over time",Y (in heatmaps),number of movements; number of animals,imports and exports; holdings not registered as pig holdings in the CHR; registration errors in the movement records,12,Y,Y,annual,R,"Holdings were assumed to be active within ayear, ifthe holding was involved in at least one pig movement. We determined the annual number of active holdings and the annual number of registered pig movements in order to describe the changes over time. Additionally, we calculated (1) the number of holdings per type over the years, (2) the median number of pigs moved each year by type of holding for both the sending and receiving holding, and (3) the median number of pig movements per holding type, again for both the sending and receiving holding. A static network was generated, as well as yearly snapshots containing only active pig holdings and movements occurring in the considered year were generated to analyse the network over time. To describe the level of variation of the network on ayearly basis, we calculated the network loyalty defined as the fraction of common directed links for all considered years. In contrast to the static situation, the time when contacts between holdings occur and especially the chronological order of contacts istaken into account in temporal networks. We calculated the size of the in-going and out-going contact chain for each holding, by tracing back and forward all direct and indirect contacts within the yearly snap shots",loyalty (fraction of common directed links for all considered years); Jaccard Index; in-loyalty; out-loyalty; fragmentation; GSCC; giant in-component; giant out-component; in-going contact chain; out-going contact chain,N,-,"We observed adecreasing number of holdings, but an increasing size of the holdings in the considered time period; The type of holding highly influenced the frequency of contacts with other holdings as well as to which type of holding contacts occurred, which reflects the pyramidal structure of the Danish pig production sector; The small sizes of the yearly GSCCs might result from the pyramid structure or so called tree-like structure of the Danish pig production sector and lead to arestriction of the size of disease outbreaks; All breeding sites showed an intermediate level of in-loyalty whereas there was more variation on the level of in-loyalty for production sites; Hobby and transit sites show lower levels of in-loyalty and thus might be at higher risk for introduction of diseases. On the other hand, only trade herds show ahigh out-loyalty as the majority of out-going movements go either to slaughterhouses or rendering plants; End of production sites show the highest levels of in-going contact chains, whereas we observed low levels for production sites. Breeding sites had higher out-going contact chains compared to all other holding type categories; the yearly components indicate circular connections between holdings that might support pathogen perpetuation; Breeding and multiplier herds, production and weaner herds showed the described lower risk combination; Around one third of the connections between holdings persisted between 2006 and 2015, suggesting long lasting trade connections are in place","The holding types are self-reported by the owner of the holding, and the lack of holding type definitions makes misclassification likely; available holding types in the CHR changed over time; Information on biosecurity in Danish pig holdings are currently only available for SPF herds, and registered in the private SPF-register; We estimated the number of weaners per holding in 2006, because these values were not given in the data; errors in reporting (for example, movements could have occurred over a certain time period but were all reported on a single day)","Itmight be useful to add clear definitions for the holding types to the CHR and restrict the use of some holding types dependent on other available information such as the registration of the holding as specific pathogen free herd (SPF); Official veterinarians could perform regular inspections and use already available methods to assign abiosecurity level to each holding; different management structures of holding types should be taken into account when developing control programs to limit the spread of diseases; Holdings with acombination of alow/intermediate out-loyalty and high level of out-going contact chains might have ahigher risk of spreading diseases compared to holdings with a high out-loyalty and alow size of out-going contact chains and should thus be targeted by surveillance; the start of eradication and control could be started in breeding herds; Restricted trade between holdings tested positive to holdings tested negative for aconsidered disease, as in the SPF-system, might additionally reduce the risk of introduction and re-introduction; if eradication of a certain disease is the purpose, potential infection via mechanisms other than animal movements should be considered",
Sellman 2022,Epidemics,Modeling nation-wide US swine movement networks at the resolution of the individual premises,2022,10.1016/j.epidem.2022.100636,"describe the new swine USAMM version (which objective is to enable the up-scaling of incomplete data to predict premises-to-premises shipment networks) covering the entire contiguous U.S.,  and use the model to analyze the importance of shipments for explaining the prevalence of porcine epidemic diarrhea virus (PEDv) in U.S. counties.",USA,Y,"For the year 2010 the states were California, Iowa, Minnesota, North Carolina, New York, Texas and Wisconsin; for 2011 the states were the same with the addition of Nebraska.",swine,"Three sets of data: 2 sets of Interstate Certificates of Veterinary Inspections (CVIs) - sub-sample of all the export records for a subset of states during the years 2010 and 2011; and 1 HeaLth Plan Agreements (HPA) consisted of all of the intestate HPA shipments leaving California, Michigan, Iowa, New York, North Carolina and Wisconsin, as well as all the interstate HPA shipments entering Iowa in 2014.",2010,2014,N,CVIs from 2010 and 2011; HPAs from 2014 (leaving several states and entering Iowa - total 15 states),Y,"slaughterplants; when shipments occur regularly between two premises within a shared swine production system, an agreement can be set up that allows interstate shipments without CVIs - HPA shipments are not allowed between premises of different production systems, meaning that the HPA shipment data consists of a number of subnetworks, each associated exclusively with one production system. the HPA shipments come in groups of one or more incoming and outgoing shipments, all tied to a single HPA herd identifier; within-state shipments are not reported",N,N,N,N,-,Y, porcine epidemic diarrhea virus (PEDv) - model was fit to a data set covering observations of PEDv in the U.S. over the period August 2014 to March 2018 obtained from the USDA Emergency Management Response System (EMRS),county of animal holding,,animal movements,,Y,number of animals,-,250 full network replicates (simulated with bayesian model),Y,Y,quarter networks,R,"Networks using the two data source documents were constructed and 250 networks of inter- and intra-state CVI and HPA shipments were simulated based on a single joint random sample from the posterior parameter distribution. Then, using the synthetic networks, a predictive disease model was built, to understand the importance of shipments in explaining the prevalence of PEDv in US counties (generalized linear models)",weighted in-degree; betweenness; proportion of incoming animals from infected premises; ,N,-,"The validation of the disease model showed that the it was capable of recreating the main spatial features of the outbreak pattern (in this case PEDv) observed in the available data; A geographically comprehensive set of shipments can be used to extrapolate infection risk to include all counties in the conterminous U.S., and put disease transmission risk in a nation-wide perspective.","The central issue that is addressed by USAMM is the lack of comprehensive livestock shipment data in the U.S. - no complete data set of the different U.S. livestock shipment networks exist; the HPA data provided limited information about premises identity in that each operation listed as the origin or destination in the HPA data was associated with a unique id number. This id number could not be used to determine the exact identity of the premises; The types of premises were not considered in the study, which precludes any inference about type-specific behavior of interest; A further issue related to the shipment data to which USAMM was fitted was that the various data sets were not collected during the same time periods; ultimately the model results are based purely on patterns that can be determined from such interstate shipment data, and does not consider empirical data on within-state shipments; predictions based on much more recent data would provide a much higher level of detail than what the comparison to the NASS census and survey is capable of.","without a set of data that describes within-state shipments, the uncertainty regarding these issues are impossible to quantify. If such a data set was available it could be used to validate the predictions of within-state shipments that USAMM produce, and in that way assess the amount of error resulting from this bias. Alternatively, it could be incorporated into USAMM as a third source of data that would help to inform within-state shipment behavior; Further nuance and complexity, such as including various strains of PEDv, other transmission routes, and various biosecurity measures, would be crucial additions to improve the scientific rigor of the model",
Shi 2021,Preventive Veterinary Medicine,"Characterization and influencing factors of the pig movement network in Hunan Province, China",2021,10.1016/j.prevetmed.2021.105396,to (1) describe and map the pig movement network in Hunan Province by using SNA and identify the most central regions in the network; (2) ascertain the relationships between the different network metrics; (3) quantify how metrics that represent network structure vary over time; and (4) identify the influencing factors of the network,CHN,Y,"Hunan Province, which has a high demand for pork and 20,900 large-scale farms with an annual output of 500 heads and above",swine,electronic animal health certificate platform; socioeconomic data from Statistical Yearbook of Hunan Province; Ministry of Civil Affairs of the People’s Republic of China,2017,2017,Y,-,N,-,N,N,N,N,administrative area codes; human population; GDP; output value of farming; Engel’s coefficient,N,-,districts,122,number of movements; number of animals per movement,8562 (510973 shipments and 17815040 animals),Y,number of movements; numbers of animals per movement,-,12,Y,Y,monthly,Pajek; ArcGIS,"A network with nodes as districts was created. We identified those hubs with the highest in-degree (potential super-spreaders) and the highest out-degree (potential super-receivers), then observed the changes in the network structure after restricting the cross-regional pig movements in districts with the top 10 % and 50 % of centrality. Small world topology was assessed. We quantified the influences of socioeconomic factors on pig movement using GLM. Response variables were degree centrality, the number of shipments, and the number of pigs moved, respectively, and one model for each of the 3 response variables. Independent variables included the size of the human population, output value of farming, per capita gross domestic product (GDP), and Engel’s coefficient.",in-degree; out-degree; average shortest path length; clustering coefficient; average degree; closeness; in-closeness; out-closeness; betweenness; density,N,-,"After restricting the cross-regional pig movements in areas with the top 50 % of out-degree centrality, the number of pigs will be reduced by 93.8 %, implying that the surveillance of those areas is more effective than monitoring other areas for preventing and controlling diseases; the number of pigs moved was reduced by 93.7 % after isolating the districts with the top 50 % of closeness centrality, which is similar to the result isolating the districts with the top 50 % of degree centrality; small world topology was found; The very high positive correlation between degree centrality and closeness centrality suggested that highly connected areas had a shorter path length to other districts, and they only needed very few steps to access every other, implying that highly connected districts are more likely to be infected and to subsequently transmit the pathogen to other areas compared with less connected districts; The value of the loop was much higher than the sum of weighted in-degree and weighted out-degree, indicating pig movement in most instances was local transportation to meet domestic meat consumption requirements of residents; Increased shipments of hogs at the end of the year may be because the demand for pork increased during the New Year; there was a strong positive relationship between the size of the human population and pig production in China",-,"Hubs contribute disproportionately to the spread of disease, and priority should be given to control measures such as test-andslaughter, vaccination and movement restrictions there; The districts with the top 50 % of in-degree centrality received 92 % of all pigs, serving as ‘super-receivers’, which are vulnerable to infectious diseases in trade networks and should also be prioritized for enhanced surveillance; More human, material, and financial resources should be invested in areas with high centrality; it is critical to strengthen the targeted surveillance of areas with high degree/closeness centrality, as it might allow a timely detection and diagnosis of infectious diseases at an early stage of an outbreak; Targeted surveillance strategies in areas with high in-degree and out-degree are conducive to controlling epidemic spreading; surveillance for pig movements within Hunan should be reinforced in November and December",
Simbizi 2022,Preventive Veterinary Medicine,"Using value chain and trade networks in the Eastern Cape Province of South Africa, as a basis for targeted rural chicken surveillance",2022,10.1016/j.prevetmed.2022.105713,identify biosecurity hotspots and chicken trade hubs that could be targeted for disease surveillance within rural Eastern Cape Province (ECP) by combining value chain analysis and SNA; ,ZAF,Y,Eastern Cape Province in South Africa (province has the highest number (31%) of agricultural households engaged in poultry farming (an average of 1 to 10 chickens per household)),poultry,"from February to June 2019, an initial survey targeting chicken farmers was conducted, which was followed by a second survey targeting traders and processors from November 2020 to July 2021, based on information provided by chicken farmers in the first survey.",Feb 2019,Jul 2021,N,"survey during these dates. General information, such as farm structure and flock size, types/sources of inputs (feed, water, day-old chicks used on the farm), data on the movement of live chickens and chicken products, trading practices, existing regulations of chicken trade, animal health management and waste disposal.",N,-,N,N,N,Y,-,N,-,municipalities,35,chicken movements,-,N,-,-,11,N,N,-,Ucinet; NetDraw,1 Full network of chicken trade and 10 ego-networks were built for each municipality. Networks measures were calculated to find the most central municipalities. ,"betweenness; size; number of directed ties; density; brokerage; ego-betweenness; network centralization index (sum of differences between the centrality of the most central node and the centrality of every other node, divided by the maximum possible)",N,-,"The study found that, if disease surveillance was placed at Umzimvubu, KSD and Enoch Mgijima (high betweenness nodes), the probability for early detection of any outbreak and its control would be high since these two municipalities have the potential for controlling flows through the network; The ego networks analysis further revealed that municipalities with large networks and high brokerage are centrally located within their ego networks as targets for disease surveillance.",Middlemen might have been missed due to possible bias in sampling and selection of respondents,Making traders aware of the importance of having permits would have a positive impact on chicken disease surveillance and follow up during outbreaks.,
Smith 2011,Thesis - Masters,"Epidemiological characterization and network analysis of Colorado's backyard bird population, 2008-2009",2011,https://mountainscholar.org/items/dd005475-3044-44f6-a29e-e6716e1da066,"provide epidemiological characterization of the backyard flocks in Colorado from March 2008-2009, focusing on an association between poor health among the birds and the movement of birds by humans; and also to perform a network analysis evaluating potential relationships between backyard flocks and poultry exhibitions, and bird markets.",USA,Y,Colorado state,poultry,"The survey included detailed questions regarding bird movement, providing necessary data for the network analyses, including only those that reported movement of their birds to specific locations during the 12-month study period.",Mar 2008,Mar 2009,N,survey asking regarding the movements occuring during those dates (which were past 12 months),N,-,N,N,N,N,-,,,event network: poultry events; flock network: backyard flocks,event network: 108; flock network: 140,animal movements,event network: 191; flock network: 738,N,-,-,3,N,N,-,Ucinet; NetDraw,"A two-mode network between backyard flocks and poultry events was created; Ego-networks of a few specific ""event"" were looked at to better visualize the level of connectivity in the network; The two–mode (flock x event) matrix was converted into two one-mode data sets, producing “flock x flock” (nxn) and “event x event” (mxm) matrices.",number of components; cut-points; degree; betweenness; closeness; density; centralization indices; clustering coefficients; geodesic distances; diameter; reachability,N,-,"The distribution of the number of links to an event or flock showed that most were connected by just a few links; whereas a few exhibited a large number of links to them (which were considered the network ""hubs"" or super-spreaders); Both the Flock and the Event Networks are small world, scale-free networks that could potentially be highly impacted by the introduction of a highly infectious agent, such as AI. However, the structure of the networks creates great possibilities for effective targeted disease control and prevention strategies.","A limitation of the Network Analysis was that time was not considered.  The results of this study apply only to the backyard bird population and cannot be generalized to a population outside of the specific study population. Additionally, out of the 807 eligible participants, there were 490 backyard flock owners that choose not to participate. The study population was not an entirely random sample of the backyard bird population in Colorado. Finally, the person interpreting the survey answers may have introduced observer/interviewer bias.","Overall, a more detailed understanding of the backyard flock populations in the United States may be important to incorporate in future surveillance plans or disease control for HPAI.",poor study on SNA
Smith 2013,Preventive Veterinary Medicine,Descriptive and social network analysis of pig transport data recorded by quality assured pig farms in the UK,2013,10.1016/j.prevetmed.2012.08.011,"to explore the potential effects of movement connections on the spread of an infectious agent, with Salmonella selected as an example of an important endemic disease within the UK; to test hypotheses of how pig movements may affect the transmission and control of Salmonella, which may help explain the spatial heterogeneity of pig farm Salmonella prevalence",GBR,N,-,swine,Quality Assurance (QA) schemes (Genesis Quality Assurance (GQA); Assured British Pigs (ABP); and Quality Meat Scotland (QMS)),2004,2008,N,only the most recent assessment for each farm was included in this study (12-month period),Y,"QMS, which covers the majority of pig farms in Scotland, did not record the use of hauliers or which feeder units were supplied; The QA schemes cover different geographical areas and have slight deviations in the structure and content of the data collected and monitored (voluntary participation); the schemes did not provide information on the number of movements in a year, the specific dates of movements or the number of pigs moved",N,N,N,Y,company size; government office region; QA scheme,N,-,farms; regions,"1633 farms (678 from ABP, 743 GQA and 212 QMS) (7 large, 27 medium and 458 small companies); 11 regions",animal movements; number of movements,2421 farm-to-farm (region network visualization weighted by number of movements),Y,number of movements,"Farms that recorded no movement connections, on or off, to other farms; although some farms had multiple records, only the most recent assessment for each farm was included in this study",1 plus 100 randomly generated networks with the same number of nodes and connections,Y,N,-,MS Access; R; Minitab; ArcGIS; Ucinet,"Data on abattoir and haulier usage, weaner/grower pig suppliers, and feeder units were collected from three QA schemes. A farm-to-farm network was created, with each unique farm QA membership identifier used to define a node and the presence of any pig movement connection between the farms created arcs between the nodes. The analysis consisted of an analysis of the network structure of farm-to-farm connections and a descriptive evaluation of the use of abattoirs and livestock hauliers. Farms that recorded no movement connections, on or off, to other farms were excluded from the network analysis, as it was assumed that these represented farms with missing data. The farm-to-farm network was also compared against the average characteristics of 100 randomly generated datasets, each with the same number of nodes and connections as the real network, to define whether the network structure was consistent with a hypothesised “small world network” definition.",degree; in-degree; out-degree; betweenness; E–I indices; clustering coefficient; network centralization index; average path length; Euclidian distances,N,-,"The network analysis of the farm-to-farm movement connections showed a near absence of any farms with high in- and out-degree, and most farms showed both low in- and out-degree (i.e. no key nodes exist that link many others and could act as hubs); The farm-to-farm network was more clustered and with a shorter average distance, than the random datasets, indicative of a small world network; an outbreak of a novel Salmonella strain in the pig farm network may be more likely to spread predominantly within a specific company or a region; Farms that were part of large and medium companies were most likely to have movement connections to farms within the same company, whereas farms in small companies infrequently moved pigs within the company and mainly moved pigs to other small or large companies; hauliers mainly collected pigs from farms within a single region","as the records related to unique movement connections within a yearly period and did not record the frequency of movements or number of pigs moved, the specific risks to pigs caused by the movement of a batch of pigs to an abattoir or to a farm, or from the contamination of a haulier environment, cannot be assessed; No data were recorded on the amount of pigs sent to these abattoirs and it is expected that a number of the unique abattoirs listed might have been used infrequently; missing data; bias in the way this information was collected by the different schemes; QA records may suffer from self-reporting and recall bias","A reduction in degree by all farms (by farms moving pigs to fewer individual farms) may be effective in limiting the spread of infectious organisms and would reduce the betweenness score of the farms within the network; High prevalence farms with relatively high centrality values could be subject to targeted surveillance and control measures, to reduce the effect of these high risk nodes within the network; heightened surveillance could be extended to the regions where the farms are most likely to trade pigs with; Large integrated companies using the same abattoirs and hauliers may help to ensure that these facilities are only used by herds of a similar health and biosecurity status which reduces the threat of indirect spread between pigs from different farms; the need to ensure the adequate cleaning and disinfection of the transporters between pickups; emphasis on monitoring and reducing the prevalence on farms with high centrality values, as well as attempting to reduce the number of connections between all farms",
Sterchi 2019,PloS one,"The pig transport network in Switzerland: Structure, patterns, and implications for the transmission of infectious diseases between animal holdings.",2019,10.1371/journal.pone.0217974,to assess the effect of additionally considering such transport data provided by a Swiss transport company on network measures relevant for disease transmission,CHE,N,-,swine,Animal Movement Database (AMD); data from one of the animal transport companies in Switzerland,2014,2017,Y,-,N,-,N,N,N,Y,canton,N,-,animal holding; cantons,"11690 in 2014, 11338 in 2015, 11120 in 2016, and 10406 in 2017 for AMD network (On average, the monthly networks consisted of 5,518 nodes); 1626 in 2014, 1565 in 2015, 1511 in 2016, and 1469 in 2017 in transport network (on average, monthly networks for all three types of networks contained 975 nodes)",animal movements; number of movements; number of animals,"average number of animals per movement was 26; 33,365 tours of which 6,590 tours contained only one transport of pigs; On average, the three monthly transport networks consisted of 793, 912, and 1,648 edges, respectively (ifwe consider the digraphs, the average number of edges was smaller: 689, 802, and 1,528 edges, respectively); On average, the AMD monthly networks consisted of 4,176 edges (3508 in digraph)",Y,number of animals,movement to slaughterplants,193 plus 100 randomly generated networks,Y,Y,monthly,Python,"Data preprocessing included removing duplicate entries, self-loops, and observations where the involved holdings could not be identified. We created directed temporal networks for every month of the observation period from the AMD data. We also considered one specific monthly network and studied whether the network was scale-free and/or exhibited the small-world property. We modeled the TRP data similarly to the way we modeled the AMD data. However, individual transports were organized as tours. In order to determine the indirect links due to shared transports, we considered the exact loading and unloading times within a tour. The resulting direct and indirect links between farms were modeled as directed temporal networks. We produced three networks: one representing only edges due to direct transports as reported in the AMD database, one that additionally represents indirect edges due to truck sharing and finally, one that, in addition, contains edges due to the potential contamination of trucks.",in-degree; out-degree; ingoing contact chain; outgoing contact chain; weakly connected component; strongly connected component; reachability; average shortest path; clustering coefficient; Euclidean distance,N,-,"A detailed analysis of trade flows between cantons (44% of all farm-to-farm movements) revealed the crucial role of the canton Luzern; the analysis of the TRP data also showed that a tour often includes transports of species other than pigs; a high degree of fragmentation that should prevent adisease from transmitting to large parts of the network from AMD data; the static measures (SCC and WCC) overestimate the outbreak risk compared to reachability ratio; did not find evidence for a scale-free network but network showed small-world properties; large increase in connectivity due to the additional consideration of truck contamination while the effect of adding edges due to truck sharing was only moderate, indicating that the consideration of additional, indirect ways of disease transmission will have a substantial effect on the topology of the network and may thus influence how quickly and how far a disease can transmit; conclusions based on conventional animal movement data such as AMD may underestimate the actual risk of disease transmission between animal holdings",-,"the surveillance of highly connected farms in Luzern is crucial; Disease surveillance should also focus on farms in the canton Bern as this canton had the second largest number of pigs sent to other cantons; super-spreaders should be targeted for disease surveillence; targeting three groups of farms in adisease surveillance system: 1) hubs, 2) high OCC-farms, and 3) high ICC-farms",
