Title,Authors,Abstract,Published Year,Journal,Volume,Issue,Pages,DOI,Covidence #,Study
Analysis of traditional poultry trader networks to improve risk-based surveillance,"Vallée, E; Waret-Szkuta, A; Chaka, H; Duboz, R; Balcha, M; Goutard, F","Live bird markets and contacts between them through poultry traders are known risk factors in the spread of diseases such as Newcastle disease. A traders' questionnaire survey was used to build networks of chicken movements among 29 shared markets during and outside festive seasons in the Oromia region of Ethiopia. A comparison was made between typologies built using centrality indexes (in-degree, out-degree, in-closeness, out-closeness and random-walk betweenness) and descriptive characteristics of the markets (number of chickens, number and type of sellers and the frequency with which they use different markets). The festive seasons did not appear to have an impact on the network structure, implying that it was not necessary to make structural changes to surveillance targets during these periods. Based on centrality indices, three markets (Meki, Debre Zeit and Adulala) emerged from the typology as being central to the network, which would not have been deduced from their descriptive characteristics alone. These three poultry markets ideally would be chosen in a risk-based type of surveillance system and in targeted control policies. (C) 2012 Elsevier Ltd. All rights reserved.",2013,VETERINARY JOURNAL,195,1,59-65,10.1016/j.tvjl.2012.05.017,#357,Vallée 2013
"Role of Live-Duck Movement Networks in Transmission of Avian Influenza, France, 2016-2017","Guinat, C; Durand, B; Vergne, T; Corre, T; Rautureau, S; Scoizec, A; Lebouquin-Leneveu, S; Guérin, JL; Paul, M","The relative roles that movement and proximity networks play in the spread of highly pathogenic avian influenza (HPAI) viruses are often unknown during an epidemic, preventing effective control. We used network analysis to explore the devastating epidemic of HPAI A(H5N8) among poultry, in particular ducks, in France during 2016-2017 and to estimate the likely contribution of live-duck movements. Approximately 0.2% of live-duck movements could have been responsible for between-farm transmission events, mostly early during the epidemic. Results also suggest a transmission risk of 35.5% when an infected holding moves flocks to another holding within 14 days before detection. Finally, we found that densely connected groups of holdings with sparse connections between groups overlapped farmer organizations, which represents important knowledge for surveillance design. This study highlights the importance of movement bans in zones affected by HPAI and of understanding transmission routes to develop appropriate HPAI control strategies.",2020,EMERGING INFECTIOUS DISEASES,26,3,472-480,10.3201/eid2603.190412,#366,Guinat 2020
Preventive effect of on-farm biosecurity practices against highly pathogenic avian influenza (HPAI) H5N6 infection on commercial layer farms in the Republic of Korea during the 2016-17 epidemic: A case-control study,"Yoo, DS; Lee, KN; Chun, BC; Lee, HS; Park, H; Kim, JK","Highly pathogenic avian influenza virus (HPAIv) H5N6 has destructive consequences on the global poultry production system. Recently, a growing number of layer farms have been heavily damaged from the HPAIv epidemic due to the increased virulence of the virus and the intensification of the production system. Therefore, stakeholders should implement effective preventive practices at the farm level that are aligned with contingency measures at the national level to minimize poultry losses. However, numerous biosecurity protocols for layer farm workers to follow have been developed, impeding efficient prevention and control. Furthermore, the effectiveness of biosecurity practices varies with the geographical condition and inter-farm contact structures. Hence, the objective of our study was to examine the preventive effect of five biosecurity actions commonly practiced at layer farms in the Republic of Korea against HPAIv H5N6: (i) fence installation around a farm, ii) rodent control inside a farm; iii) disinfection booth for visitors for disinfection protocols, iv) an anterior room in the sheds before entering the bird area and v) boots changes when moving between sheds in the same farm. We conducted a case-control study on 114 layer case farms and 129 layer control farms during the 2016-17 HPAI epidemic. The odds ratios for five on-farm biosecurity practices implemented in those study groups were estimated as a preventive effect on the HPAI infection with covariates, including seven geographical conditions and three network metrics using Bayesian hierarchical logistic regression and geographical location weighted logistic regression. The results showed that the use of a disinfection booth for personnel reduced the odds of HPAIv H5N6 infection (adjusted odds ratio [AOR] = 0.002, 95 % credible interval [CrI] = 0.00007 - 0.025) with relatively small spatial variation (minimum AOR - maximum AOR: 0.084-0.263). Changing boots between sheds on the same farm reduced the odds of HPAIv H5N6 infection (AOR = 0.160, 95 % CrI = 0.024-0.852) with relatively wide spatial variation (minimum AOR - maximum AOR = 0.270-0.688). Therefore, enhanced personnel biosecurity protocols at the farm of entry for layer farms is recommended to effectively prevent and respond to HPAIv H5N6 infection under different local condition. Our study provides an important message for layer farmers to effectively implement on-farm biosecurity actions against HPAIv H5N6 infection at their farms by setting priorities based on their spatial condition and network position.",2022,PREVENTIVE VETERINARY MEDICINE,199,,,10.1016/j.prevetmed.2021.105556,#371,Yoo 2022
Generation of swine movement network and analysis of efficient mitigation strategies for African swine fever virus,"Ferdousi, T; Moon, SA; Self, A; Scoglio, C","Animal movement networks are essential in understanding and containing the spread of infectious diseases in farming industries. Due to its confidential nature, movement data for the US swine farming population is not readily available. Hence, we propose a method to generate such networks from limited data available in the public domain. As a potentially devastating candidate, we simulate the spread of African swine fever virus (ASFV) in our generated network and analyze how the network structure affects the disease spread. We find that high in-degree farm operations (i.e., markets) play critical roles in the disease spread. We also find that high in-degree based targeted isolation and hypothetical vaccinations are more effective for disease control compared to other centrality-based mitigation strategies. The generated networks can be made more robust by validation with more data whenever more movement data will be available.",2019,PLOS ONE,14,12,,10.1371/journal.pone.0225785,#380,Ferdousi 2019
"Analysis of cattle movements in Argentina, 2005","Aznar, MN; Stevenson, MA; Zarich, L; León, EA","We describe the movement of cattle throughout Argentina in 2005. Details of farm-to-farm and farm-to-slaughter movements of cattle were obtained from the Sanitary Management System database (Sistema de Gestion Sanitaria, SGS), maintained by the National Service for Agrifood Health and Quality (SENASA). Movements were described at the regional and district level in terms of frequency, the number of stock transported, the district of origin and destination and Euclidean distance traveled. Social network analysis was used to characterize the connections made between regions and districts as a result of cattle movement transactions, and to show how these characteristics might influence disease spread.Throughout 2005 a total of 1.3 million movement events involving 32 million head of cattle (equivalent to approximately 57% of the national herd) were recorded in the SGS database. The greatest number of farm-to-farm movements occurred from April to June whereas numbers of farm-to-slaughter movement events were relatively constant throughout the year. Throughout 2005 there was a 1.1-1.6-fold increase in the number of farm-to-farm movements of cattle during April-June, compared with other times of the year. District in-degree and out-degree scores varied by season, with higher maximum scores during the autumn and winter compared with summer and spring. Districts with high in-degree scores were concentrated in the Finishing region of the country whereas districts with high out-degree scores were concentrated not only in the Finishing region but also in Mesopotamia, eastern Border and southern Central regions. Although movements of cattle from the Border region tended not to be mediated via markets, the small number of districts in this area with relatively high out-degree scores is a cause for concern as they have the potential to distribute infectious disease widely, in the event of an incursion. Published by Elsevier B.V.",2011,PREVENTIVE VETERINARY MEDICINE,98,3-Feb,119-127,10.1016/j.prevetmed.2010.11.004,#395,Aznar 2011
Quantifying changes in the British cattle movement network,"Duncan, AJ; Reeves, A; Gunn, GJ; Humphry, RW","The modelling of disease spread is crucial to the farming industry and policy makers. In some of these industries, excellent data exist on animal movements, along with the networks that these movements create, and allow researchers to model spread of disease (both epidemic and endemic). The Cattle Tracing System is an online recording system for cattle births, deaths and between-herd movements in the United Kingdom and is an excellent resource for any researchers interested in networks or modelling infectious disease spread through the UK cattle system. Data exist that cover many years, and it can be useful to know how much change is occurring in a network, to help judge the merit of using historical data within a modelling context. This article uses the data to construct weighted directed monthly movement networks for two distinct periods of time, 2004-2006 and 2015-2017, to quantify by how much the underlying structure of the network has changed. Substantial changes in network structure may influence policy-makers directly or may influence models built upon the network data, and these in turn could impact policy-makers and their assessment of risk. We examined 13 network metrics, ranging from general descriptive metrics such as total number of nodes with movements and total movements, through to metrics to describe the network (e.g., Giant weakly and strongly connected components) and metrics calculated per node (betweenness, degree and strength). Mixed effect models show that there is a statistically significant effect of the period (2004-2006 vs 2015-2017) in the values of nine of the 13 network metrics. For example median total degree decreased by 19%. In addition to examining networks for two time periods, two updates of the data were examined to determine by how much the movement data stored for 2004-2006 had been cleansed between updates. Examination of these updates shows that there are small decreases in problem movements (such as animals leaving slaughterhouses) and therefore evidence of historical data being improved between updates. In combination with the significant effect of period on many of the network metrics, the modification of data between updates provides further evidence that the most recent available data should be used for network modelling. This will ensure that the most representative descriptions of the network are available to provide accurate modelling results to best inform policy makers.",2022,PREVENTIVE VETERINARY MEDICINE,198,,,10.1016/j.prevetmed.2021.105524,#397,Duncan 2022
Tracking Socioeconomic Vulnerability Using Network Analysis: Insights from an Avian Influenza Outbreak in an Ostrich Production Network,"Moore, C; Cumming, GS; Slingsby, J; Grewar, J","Background: The focus of management in many complex systems is shifting towards facilitation, adaptation, building resilience, and reducing vulnerability. Resilience management requires the development and application of general heuristics and methods for tracking changes in both resilience and vulnerability. We explored the emergence of vulnerability in the South African domestic ostrich industry, an animal production system which typically involves 3-4 movements of each bird during its lifetime. This system has experienced several disease outbreaks, and the aim of this study was to investigate whether these movements have contributed to the vulnerability of this system to large disease outbreaks.Methodology/Principal Findings: The ostrich production system requires numerous movements of birds between different farm types associated with growth (i.e. Hatchery to juvenile rearing farm to adult rearing farm). We used 5 years of movement records between 2005 and 2011 prior to an outbreak of Highly Pathogenic Avian Influenza (H5N2). These data were analyzed using a network analysis in which the farms were represented as nodes and the movements of birds as links. We tested the hypothesis that increasing economic efficiency in the domestic ostrich industry in South Africa made the system more vulnerable to outbreak of Highly Pathogenic Avian Influenza (H5N2). Our results indicated that as time progressed, the network became increasingly vulnerable to pathogen outbreaks. The farms that became infected during the outbreak displayed network qualities, such as significantly higher connectivity and centrality, which predisposed them to be more vulnerable to disease outbreak.Conclusions/Significance: Taken in the context of previous research, our results provide strong support for the application of network analysis to track vulnerability, while also providing useful practical implications for system monitoring and management.",2014,PLOS ONE,9,1,,10.1371/journal.pone.0086973,#398,Moore 2014
Use of social network analysis to characterize the pattern of animal movements in the initial phases of the 2001 foot and mouth disease (FMD) epidemic in the UK,"Ortiz-Pelaez, A; Pfeiffer, DU; Soares-Magalhaes, RJ; Guitian, FJ","Aggregated movement data do not take into account the relative position of the units within a higher-level structure. Social network analysis (SNA) and graph theory provide a tool to organise and analyse relational data overcoming the limitations of standard methods where the position of individuals/observations does not affect the result of the analysis.Some recorded movements of cattle and sheep during the initial phase of the 2001 foot and mouth disease (FMD) outbreak in the UK, before the ban on animal movements was imposed, are analysed descriptively using SNA. With the data available, a directed dichotomized network with 653 nodes and 797 arches was analysed. Most of the 10 nodes with the highest betweenness (3 farms, 4 markets and 3 dealers) were identified as key players in the initial spread of the infection. Three groups of nodes with distinctive proportion of k <= 2 neighbours would result in three different theoretical outbreak dimension, assuming that the infection is only disseminated by he movement, included in the network: no spread, spread up to 7% and around 25%.There are three hierarchical clusters with 308, 215 and 130 nodes, respectively. Farms in cluster I appear to be more similar in their movement patterns to non-farm holdings than to farms in clusters 2 and 3.Relative betweenness, k-neighbours and structural equivalence using hierarchical clustering were able to identify key actors in the evolution of the initial phases of the FMD outbreak such as markets, dealers and farms with atypical movement patterns. Holdings with high betweenness, large number of k <= 2 neighbours and with movement pattern as in cluster I should be targeted in disease control activities once primary actors like markets, dealers and slaughter houses have been contained. (c) 2006 Elsevier B.V. All rights reserved.",2006,PREVENTIVE VETERINARY MEDICINE,76,2-Jan,40-55,10.1016/j.prevetmed.2006.04.007,#402,Ortiz-Pelaez 2006
Disease persistence on temporal contact networks accounting for heterogeneous infectious periods,"Darbon, A; Colombi, D; Valdano, E; Savini, L; Giovannini, A; Colizza, V","The infectious period of a transmissible disease is a key factor for disease spread and persistence. Epidemic models on networks typically assume an identical average infectious period for all individuals, thus allowing an analytical treatment. This simplifying assumption is, however, often unrealistic, as hosts may have different infectious periods, due, for instance, to individual host-pathogen interactions or inhomogeneous access to treatment. While previous work accounted for this heterogeneity in static networks, a full theoretical understanding of the interplay of varying infectious periods and time-evolving contacts is still missing. Here, we consider a susceptible-infectious-susceptible epidemic on a temporal network with host-specific average infectious periods, and develop an analytical framework to estimate the epidemic threshold, i.e. the critical transmissibility for disease spread in the host population. Integrating contact data for transmission with outbreak data and epidemiological estimates, we apply our framework to three real-world case studies exploring different epidemic contexts-the persistence of bovine tuberculosis in southern Italy, the spread of nosocomial infections in a hospital, and the diffusion of pandemic influenza in a school. We find that the homogeneous parametrization may cause important biases in the assessment of the epidemic risk of the host population. Our approach is also able to identify groups of hosts mostly responsible for disease diffusion who may be targeted for prevention and control, aiding public health interventions.",2019,ROYAL SOCIETY OPEN SCIENCE,6,1,,10.1098/rsos.181404,#406,Darbon 2019
"Social network analysis of cattle movement in Kampong Cham, Kampong Speu and Takeo, Cambodia","Poolkhet, C; Kasemsuwan, S; Seng, S; Keartha, C; Sokmao, C; Shin, M; Kalpravidh, W; Hinrichs, J","The aim of this study is to provide insight the network of cattle movement in Kampong Cham, Kampong Speu and Takeo, Cambodia. A cross-sectional study was carried out from July 2014 to August 2014, using questionnaires. It was implemented with 435 interviewees (24.4%, 24.6% and 51.0% from Kampong Cham, Kampong Speu and Takeo, respectively) using one-step snowball sampling. The findings suggest that the key players in all three provinces are producers who raise their cattle as backyard animals. In all three provinces the key players in spreading disease are probably the middlemen, collectors, brokers or traders. The network of cattle movement is presented as a strong component of varying size in each location. In this network we found three cut-points in both Kampong Cham and Kampong Speu. The network in each province indicates a random pattern of node distribution. The results of our study are useful to relevant authorities and researchers to understand the spread of infectious diseases into different areas. The middlemen, collectors, brokers and traders need to be controlled as first priority in order to reduce the magnitude of the spread of disease. (C) 2016 Elsevier B.V. All rights reserved.",2016,ACTA TROPICA,159,,44-49,10.1016/j.actatropica.2016.03.027,#411,Poolkhet 2016
Optimal surveillance strategies for bovine tuberculosis in a low-prevalence country,"VanderWaal, K; Enns, EA; Picasso, C; Alvarez, J; Perez, A; Fernandez, F; Gil, A; Craft, M; Wells, S","Bovine tuberculosis (bTB) is a chronic disease of cattle that is difficult to control and eradicate in part due to the costly nature of surveillance and poor sensitivity of diagnostic tests. Like many countries, bTB prevalence in Uruguay has gradually declined to low levels due to intensive surveillance and control efforts over the past decades. In low prevalence settings, broad-based surveillance strategies based on routine testing may not be the most cost-effective way for controlling between-farm bTB transmission, while targeted surveillance aimed at high-risk farms may be more efficient for this purpose. To investigate the efficacy of targeted surveillance, we developed an integrated within-and between-farm bTB transmission model utilizing data from Uruguay's comprehensive animal movement database. A genetic algorithm was used to fit uncertain parameter values, such as the animal-level sensitivity of skin testing and slaughter inspection, to observed bTB epidemiological data. Of ten alternative surveillance strategies evaluated, a strategy based on eliminating testing in low-risk farms resulted in a 40% reduction in sampling effort without increasing bTB incidence. These results can inform the design of more cost-effective surveillance programs to detect and control bTB in Uruguay and other countries with low bTB prevalence.",2017,SCIENTIFIC REPORTS,7,,,10.1038/s41598-017-04466-2,#412,VanderWaal 2017
A New Weighted Degree Centrality Measure: The Application in an Animal Disease Epidemic,"Candeloro, L; Savini, L; Conte, A","In recent years researchers have investigated a growing number of weighted heterogeneous networks, where connections are not merely binary entities, but are proportional to the intensity or capacity of the connections among the various elements. Different degree centrality measures have been proposed for this kind of networks. In this work we propose weighted degree and strength centrality measures (WDC and WSC). Using a reducing factor we correct classical centrality measures (CD) to account for tie weights distribution. The bigger the departure from equal weights distribution, the greater the reduction. These measures are applied to a real network of Italian livestock movements as an example. A simulation model has been developed to predict disease spread into Italian regions according to animal movements and animal population density. Model's results, expressed as infected regions and number of times a region gets infected, were related to weighted and classical degree centrality measures. WDC and WSC were shown to be more efficient in predicting node's risk and vulnerability. The proposed measures and their application in an animal network could be used to support surveillance and infection control strategy plans.",2016,PLOS ONE,11,11,,10.1371/journal.pone.0165781,#441,Candeloro 2016
"The pig transport network in Switzerland: Structure, patterns, and implications for the transmission of infectious diseases between animal holdings.","Sterchi, Martin; Faverjon, Celine; Sarasua, Cristina; Vargas, Maria Elena; Berezowski, John; Bernstein, Abraham; Grutter, Rolf; Nathues, Heiko","The topology of animal transport networks contributes substantially to how fast and to what extent a disease can transmit between animal holdings. Therefore, public authorities in many countries mandate livestock holdings to report all movements of animals. However, the reported data often does not contain information about the exact sequence of transports, making it impossible to assess the effect of truck sharing and truck contamination on disease transmission. The aim of this study was to analyze the topology of the Swiss pig transport network by means of social network analysis and to assess the implications for disease transmission between animal holdings. In particular, we studied how additional information about transport sequences changes the topology of the contact network. The study is based on the official animal movement database in Switzerland and a sample of transport data from one transport company. The results show that the Swiss pig transport network is highly fragmented, which mitigates the risk of a large-scale disease outbreak. By considering the time sequence of transports, we found that even in the worst case, only 0.34% of all farm-pairs were connected within one month. However, both network connectivity and individual connectedness of farms increased if truck sharing and especially truck contamination were considered. Therefore, the extent to which a disease may be transmitted between animal holdings may be underestimated if we only consider data from the official animal movement database. Our results highlight the need for a comprehensive analysis of contacts between farms that includes indirect contacts due to truck sharing and contamination. As the nature of animal transport networks is inherently temporal, we strongly suggest the use of temporal network measures in order to evaluate individual and overall risk of disease transmission through animal transportation.",2019,PloS one,14,5,e0217974-e0217974,10.1371/journal.pone.0217974,#626,Sterchi 2019
"Comparing network analysis measures to determine potential epidemic size of highly contagious exotic diseases in fragmented monthly networks of dairy cattle movements in Ontario, Canada.","Dube, C; Ribble, C; Kelton, D; McNab, B","Adult milking cow movements occurring in monthly periods in 2004-2006 were analysed to compare three network analysis measures to determine the lower and upper bounds of potential maximal epidemic size in an unrestrained epidemic: the out-degree, the infection chain or output domain of a farm, and the size of the strong and weak components. The directed networks generated by the movements of adult milking cows were highly fragmented. When all the farms that were not involved in shipments were included in the analysis, the risk of infection transmission through movements of adult cows was very low. To determine the size of an epidemic when an infected farm shipped cows in such a fragmented network, farm out-degree and infection chain provided similar and more reasonable estimates of potential maximal epidemic size than the size of the strong and weak components. Component analysis always provided estimates that were two to three times larger than the out-degree of infection chain approaches. For example, the upper bound was estimated to be 12-13 farms using out-degree and 16-17 farms using the infection chain, the components approach showed a range of 39-51 potentially exposed farms. Strong components provided an inflated measure of the lower bound of potential maximal epidemic size at first diagnosis because the time sequence of shipments was not considered. Weak components provided an inflated measure of the upper bound because both the time sequence and directionality of shipments between farms were ignored. Farm degree and infection chain measures should now be tested to determine their usefulness for estimating maximum epidemic size in large connected networks.",2008,Transboundary and emerging diseases,55,10-Sep,382-92,10.1111/j.1865-1682.2008.01053.x,#662,Dube 2008
Analysis of Swine Movement in Four Canadian Regions: Network Structure and Implications for Disease Spread.,"Thakur, K K; Revie, C W; Hurnik, D; Poljak, Z; Sanchez, J","Direct and indirect contacts among animal holdings are important in the spread of infectious diseases. The objectives of this study were to describe networks of pig movements and the sharing of trucks used for those movements between swine farms in four Canadian regions using network analysis tools and to obtain contact parameters for infectious disease spread simulation models. Four months of swine movement data from a pilot pig traceability programme were used. Two types of networks were created using three time scales (weekly, monthly and the full study period): one-mode networks of farm-to-farm direct contact representing animal shipments and two-mode networks representing the sharing of trucks between farms. Contact patterns among farms were described by estimating a range of relevant network measures. The overall network neglecting the four regions consisted of 145 farms, which were connected by 261 distinct links. A total of 184 trucks were used to transport 2043 shipments of pigs during the study period. The median in- and out-degree for the overall one-mode network was 1 and ranged from 0 to 26 and 0 to 10, respectively. The overall one-mode network had heterogeneous degree distribution, a high clustering coefficient and shorter average path length than would be expected for randomly generated networks of similar size. On average one truck was shared by four farms in the overall network, or by three farms when considered the monthly and weekly networks. Degree distribution of the two-mode overall network demonstrated characteristics of power-law distribution. For more than 50% of shipments on any given day, the same truck was used for at least one other shipment. Findings from this study are in agreement with previous work, which suggested that swine movement networks exhibit small-world and scale-free topologies. Furthermore, trucks used for the shipment of pigs can play an important role in connecting otherwise unconnected farms and may increase the spread of disease. ",2016,Transboundary and emerging diseases,63,1,e14-26,10.1111/tbed.12225,#692,Thakur 2016
"Estimating potential epidemic size following introduction of a long-incubation disease in scale-free connected networks of milking-cow movements in Ontario, Canada.","Dube, C; Ribble, C; Kelton, D; McNab, B","We used the movements of adult milking cows among farms enrolled in the Dairy Herd Improvement (DHI) program in Ontario to explore the size of an epidemic that might result from farm-to-farm movements of cows in the Province if a reportable long-incubation infection like tuberculosis (TB) were introduced and not detected for 1-3 years after introduction. A directed network was created for each year (2004-2006) using all pairs of individual shipments, defined as the movement of one or more cows on a single day, from a single source DHI farm to a single recipient DHI farm. A 3-year network was also developed that included all cow shipments that took place during these 3 years. The lower and upper bounds of potential maximal epidemic size were estimated using four network-analysis measures: (1) the farm out-degree, (2) the size of the largest strong and weak components, (3) the bow-tie approach, classifying farms into six different areas of a directed network and (4) the infection chain of a farm. All four of the DHI movement networks were found to be small-world, indicating that infection could spread over considerable distances by shipments that linked potentially distant clusters of farms. The networks were also scale-free, indicating most farms had relatively few connections to other farms, while there were a few highly connected farms. Characterization of the yearly networks showed that 41-47% of DHI farms were not involved in any cow shipments and were therefore not at risk of infection from this movement network; furthermore, if infection were introduced into a DHI farm that shipped animals that year, the infection would have stopped at that farm (or at least, not been passed on by shipment of adult milking cows) >50% of the time, and 75% of the time only one more DHI farm would have become infected through animal movements. Compared to the infection chain, which accounted for both the direction and the time sequence of shipments in the movement network, the other network-analysis measures provided biased estimates of potential epidemic size. The bow-tie approach provided a schematic representation of the level of risk of each farm in the network in spreading an infection, but overestimated the lower- and upper-bound measures of potential epidemic size because it did not account for the time sequence of shipments. Our infection-chain results suggest that introducing a long-incubation disease into the network of farms enrolled in the DHI program in Ontario that was not identified until 12 months after the incursion would, in a worst-case scenario, have resulted in 168 farms (representing 5% of all Ontario DHI herds) being infected as a consequence of adult cow movements among DHI farms. This estimate increased to 850 farms (26% of all DHI herds) if the infection were not identified for 36 months.",2011,Preventive veterinary medicine,99,4-Feb,102-11,10.1016/j.prevetmed.2011.01.013,#704,Dube 2011
Combining Salmonella Dublin genome information and contact-tracing to substantiate a new approach for improved detection of infectious transmission routes in cattle populations.,"de Knegt, Leonardo Victor; Kudirkiene, Egle; Rattenborg, Erik; Sorensen, Gitte; Denwood, Matthew James; Olsen, John Elmerdahl; Nielsen, Liza Rosenbaum","This study presents a new method for detection of between-herd livestock movements to facilitate disease tracing and more accurately describe network behaviour of relevance for spread of infectious diseases, including within-livestock business risk-carrying contacts that are not necessarily recorded anywhere. The study introduces and substantiates the concept of grouping livestock herds into business-units based on ownership and location in the tracing analysis of animal movement-based contact networks. To test the utility of this approach, whole core genome sequencing of 196 Salmonella Dublin isolates stored from previous surveillance and project activities was combined with information on cattle movements recorded in the Danish Cattle Database between 1997 and 2017. The aim was to investigate alternative explanations for S. Dublin circulation in groups of herds connected by ownership, but without complete records of livestock movements. The EpiContactTrace R-package was used to trace the contact networks between businesses and compare the network characteristics of businesses sharing strains of S. Dublin with different levels of genetic relatedness. The ownership-only definition proved to be an unreliable grouping approach for large businesses, which could have internal distances larger than 250km and therefore do not represent useful epidemiological units. Therefore, the grouping was refined using spatial analysis. More than 90% of final business units formed were composed of one single cattle property, whereas multi-property businesses could reach up to eight properties in a given year, with up to 15 cattle herds having been part of the same business through the study period. Results showed markedly higher probabilities of introduction of infectious animals between proposed businesses from which the same clone of S. Dublin had been isolated, when compared to businesses with non-related strains, thus substantiating the business-unit as an important epidemiological feature to consider in contact network analysis and tracing of infection routes. However, this approach may overestimate real-life contacts between cattle properties and putatively overestimate the degree of risk-contacts within each business, since it is based solely on information about property ownership and location. This does not consider administrative and individual farmers behaviours that essentially keep two properties separated. Despite this, we conclude that defining epidemiological units based on businesses is a promising approach for future disease tracing tasks.",2020,Preventive veterinary medicine,181,,104531-104531,10.1016/j.prevetmed.2018.09.005,#711,deKnegt 2020
The use of social network analysis to examine the transmission of Salmonella spp. within a vertically integrated broiler enterprise.,"Crabb, Helen Kathleen; Allen, Joanne Lee; Devlin, Joanne Maree; Firestone, Simon Matthew; Stevenson, Mark Anthony; Gilkerson, James Rudkin","To better understand factors influencing infectious agent dispersal within a livestock population information is needed on the nature and frequency of contacts between farm enterprises. This study uses social network analysis to describe the contact network within a vertically integrated broiler poultry enterprise to identify the potential horizontal and vertical transmission pathways for Salmonella spp. Nodes (farms, sheds, production facilities) were identified and the daily movement of commodities (eggs, birds, feed, litter) and people between nodes were extracted from routinely kept farm records. Three time periods were examined in detail, 1- and 8- and 17-weeks of the production cycle and contact networks were described for all movements, and by commodity and production type. All nodes were linked by at least one movement during the study period but network density was low indicating that all potential pathways between nodes did not exist. Salmonella spp. transmission via vertical or horizontal pathways can only occur along directed pathways when those pathways are present. Only two locations (breeder or feed nodes) were identified where the transmission of a single Salmonella spp. clone could theoretically percolate through the network to the broiler or processing nodes. Only the feed transmission pathway directly connected all parts of the network.",2018,Food microbiology,71,,73-81,10.1016/j.fm.2017.03.008,#725,Crabb 2018
Implications of Cattle Trade for the Spread and Control of Infectious Diseases in Slovenia.,"Knific, Tanja; Ocepek, Matjaz; Kirbis, Andrej; Lentz, Hartmut H K","The objectives of this study were to gain insight into the structure of the cattle trade network in Slovenia and to evaluate the potential for infectious disease spread through movements. The study considered cattle movements between different types of premises that occurred between August 1, 2011 and July 31, 2016 with the exclusion of the movements to the end nodes (e.g., slaughterhouses). In the first part, we performed a static network analysis on monthly and yearly snapshots of the network. These time scales reflect our interest in slowly spreading pathogens; namely Mycobacterium avium subsp. paratuberculosis (MAP), which causes paratuberculosis, a worldwide economically important disease. The results showed consistency in the network measures over time; nevertheless, it was evident that year to year contacts between premises were changing. The importance of individual premises for the network connectedness was highly heterogeneous and the most influential premises in the network were collection centers, mountain pastures, and pastures. Compared to random node removal, targeted removal informed by ranking based on local network measures from previous years was substantially more effective in network disassociation. Inclusion of the latest movement data improved the results. In the second part, we simulated disease spread using a Susceptible-Infectious (SI) model on the temporal network. The SI model was based on the empirically estimated true prevalence of paratuberculosis in Slovenia and four scenarios for probabilities of transmission. Different probabilities were realized by the generation of new networks with the corresponding proportion of contacts which were randomly selected from the original network. These diluted networks served as substrates for simulation of MAP spread. The probability of transmission had a significant influence on the velocity of disease spread through the network. The peaks in daily incidence rates of infected herds were observed at the end of the grazing period. Our results suggest that network analysis may provide support in the optimization of paratuberculosis surveillance and intervention in Slovenia. The approach of simulating disease spread on a diluted network may also be used to model other transmission pathways between herds.",2019,Frontiers in veterinary science,6,,454-454,10.3389/fvets.2019.00454,#739,Knific 2019
Network analysis of Danish cattle industry trade patterns as an evaluation of risk potential for disease spread.,"Bigras-Poulin, M; Thompson, R A; Chriel, M; Mortensen, S; Greiner, M","Trade patterns of animal movements in a specific industry are complex and difficult to study because there are many stakeholders, premises that are heterogeneously spread over the country, and a highly dynamic flow of animals exists among them. The Danish cattle industry was defined as a network of animal movements and graph theory was used to analyse the movements of cattle within this network. A premise was defined as a farm, an abattoir or a market. These premises constituted the network nodes in the graph and the animal movements between them were the links. In this framework, each premise had a sub-network of other premises to which it was linked by these animal movements. If no movement of animals were registered for a specific farm, then the sub-network for that premise consisted of only that premise. Otherwise, the sub-network linked the premise of interest to all premises from which and to which animals were moved, as long as there was a path linking animal movements to that specific premise. This approach allowed visualization and analyses of four levels of organization that existed in Denmark animal registers: (1) the animal that was moved, (2) the movements of all animals between two premises, (3) the specific premise network, and (4) the overall industry network. When contagious animals are moved from one premise to another, then to a third and so forth, these movements create a path for potential transfer of pathogens. The paths within which pathogens are present identify the transmission risks. A network of animal movements should provide information about pathogen transmission and disease spread. The network of the Danish cattle industry network was a directed scale-free graph (the direction of a movement was known), with an in-degree power of 2 an out-degree power of 1.46, consisted of 29,999 nodes, and 130,265 movements during a 6-month period. The in clustering coefficient was calculated to be 0.52 for the inward direction (movement to), while it was 0.02 for the outward direction (movement from). In Denmark, the cattle movements between premises demonstrated a large degree of heterogeneity. This heterogeneity in movements between farms should be used to evaluate the risk potential of disease transmission for each premise and must be considered when modelling disease spread between premises. The objective of this research was to describe the network of animal movements and not just the animal movements per se.",2006,Preventive veterinary medicine,76,2-Jan,Nov-39,10.1016/j.prevetmed.2006.04.004,#743,Bigras-Poulin 2006
